id,system,dimer_class,orca_index,xyz_file,target_spin_s2,bs_s2_filter_status,bs_s2_filter_reason,contact_min_cc_distance,mean_top10_closest_c_distances,n_interfragment_c_contacts_3p4,target_bs_interaction_energy_kcal_mol,target_triplet_interaction_energy_kcal_mol,target_singlet_triplet_gap_kcal_mol,target_somo_somo_raw_signed_kcal_mol,target_somo_somo_elst_corrected_signed_kcal_mol
phenalenyl_orca_0,phenalenyl,homodimer,0,/home/rb1820/BLA-ML/phenalenyl/orca_0/str_0.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.731058901580892,2.854568808524971,49.0,-8.978744790893918,27.782453599887152,36.76119839078107,-36.76119839078107,-36.65800764218112
phenalenyl_orca_1,phenalenyl,homodimer,1,/home/rb1820/BLA-ML/phenalenyl/orca_1/str_1.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.66243410429437,2.840963158719126,49.0,-8.734966327327829,28.42430024729006,37.15926657461789,-37.15926657461789,-37.055348228210846
phenalenyl_orca_2,phenalenyl,homodimer,2,/home/rb1820/BLA-ML/phenalenyl/orca_2/str_2.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.651359311074558,2.8575859565403983,49.0,-9.511850651611658,25.453708569746077,34.965559221357736,-34.965559221357736,-34.88079831388886
phenalenyl_orca_3,phenalenyl,homodimer,3,/home/rb1820/BLA-ML/phenalenyl/orca_3/str_3.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.592702339714882,2.8329062590030416,49.0,-8.41036393882874,28.79556780831959,37.20593174714833,-37.20593174714833,-37.080931494051185
phenalenyl_orca_4,phenalenyl,homodimer,4,/home/rb1820/BLA-ML/phenalenyl/orca_4/str_4.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.2308485309590247,2.751398015634103,49.0,-5.65740655419269,41.92433712339463,47.58174367758732,-47.58174367758732,-47.54378325339384
phenalenyl_orca_5,phenalenyl,homodimer,5,/home/rb1820/BLA-ML/phenalenyl/orca_5/str_5.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.1628860959825342,2.7318324114475407,49.0,-5.024369157742871,46.02087128547936,51.04524044322223,-51.04524044322223,-50.994526824201856
phenalenyl_orca_7,phenalenyl,homodimer,7,/home/rb1820/BLA-ML/phenalenyl/orca_7/str_7.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.5461740709916607,2.871988537895356,31.0,-6.328606618164598,19.442860557925133,25.771467176089732,-25.771467176089732,-25.733522072743227
phenalenyl_orca_8,phenalenyl,homodimer,8,/home/rb1820/BLA-ML/phenalenyl/orca_8/str_8.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.490781135755427,2.8687395714195523,28.0,-6.120655072644532,17.952849082731476,24.073504155376007,-24.073504155376007,-24.018197358902242
phenalenyl_orca_10,phenalenyl,homodimer,10,/home/rb1820/BLA-ML/phenalenyl/orca_10/str_10.xyz,0.0,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.491803058349278,2.86378996393281,28.0,-4.79644351688372,18.171026572301066,22.967470089184786,-22.967470089184786,-22.935272112635396
phenalenyl_orca_12,phenalenyl,homodimer,12,/home/rb1820/BLA-ML/phenalenyl/orca_12/str_12.xyz,0.001183,LOW_S2_INCLUDED_NO_FILTER,diagnostic only: final BS <S^2> below 0.10; retained in no-S2-filter workflow,2.54378333307532,2.8975893062375464,26.0,-4.76079477012154,15.972330903922002,20.733125674043542,-20.733125674043542,-20.72477579721457
