target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_fodft_coupling_abs_ev,50,1,1,1755,439,0.36018597101792693,175450,87750,28.06,0.9403708518061865,0.03575971819595268,0.05328737890160206
target_fodft_coupling_abs_ev,50,1,2,1755,439,0.36110672005452216,175450,87750,27.98,0.9490929641573032,0.03460535687112103,0.04862065637391324
target_fodft_coupling_abs_ev,50,1,3,1755,439,0.36142287601251155,175450,87750,27.28,0.9246005411437188,0.038595994162438696,0.06060560607695032
target_fodft_coupling_abs_ev,50,1,4,1755,439,0.36758673295844346,175450,87750,27.88,0.9454839171658995,0.036109384017749886,0.05197952464451197
target_fodft_coupling_abs_ev,50,1,5,1756,438,0.3622940789209679,175550,87800,27.8,0.9329131725888061,0.038640335709754385,0.05774102484832577
target_fodft_coupling_abs_ev,50,2,1,1755,439,0.2289309100015089,75948,37999,23.2,0.9353564514039049,0.03676531488775133,0.055482708060334694
target_fodft_coupling_abs_ev,50,2,2,1755,439,0.23429954703897238,76006,38028,23.46,0.9465420262058019,0.035344897797893605,0.04982395048394848
target_fodft_coupling_abs_ev,50,2,3,1755,439,0.22910662402864546,75948,37999,23.58,0.9219921590114375,0.038427138099010036,0.061644993808042454
target_fodft_coupling_abs_ev,50,2,4,1755,439,0.2284575899830088,75784,37917,23.14,0.9443485678550017,0.03566875763785565,0.052517997077103
target_fodft_coupling_abs_ev,50,2,5,1756,438,0.2288273610174656,75872,37961,23.58,0.9346865526202155,0.03916146699042895,0.0569727475978421
target_fodft_coupling_abs_ev,50,3,1,1755,439,0.18628129793796688,47878,23964,20.94,0.9319137045620896,0.03833827118674895,0.056940976198494676
target_fodft_coupling_abs_ev,50,3,2,1755,439,0.1870535989291966,47918,23984,20.58,0.9420180815803252,0.036804265853786836,0.05188934667818699
target_fodft_coupling_abs_ev,50,3,3,1755,439,0.18702056899201125,47870,23960,20.44,0.9132064062024985,0.04092410381160013,0.06502382600748649
target_fodft_coupling_abs_ev,50,3,4,1755,439,0.18689999205525964,47902,23976,20.54,0.9383585551992298,0.03712142233786799,0.055272153643581665
target_fodft_coupling_abs_ev,50,3,5,1756,438,0.18618749198503792,47950,24000,21.04,0.9287157806679379,0.04101569508656395,0.05951995027434256
target_fodft_coupling_abs_ev,50,5,1,1755,439,0.14937838504556566,27166,13608,17.5,0.9194459614358258,0.04175396124824448,0.06193536698516365
target_fodft_coupling_abs_ev,50,5,2,1755,439,0.14603557798545808,27160,13605,18.06,0.9354514350823682,0.03982437466153364,0.05474887606416242
target_fodft_coupling_abs_ev,50,5,3,1755,439,0.14771504991222173,27274,13662,18.04,0.8990398606653333,0.04465308736096879,0.07012997027928407
target_fodft_coupling_abs_ev,50,5,4,1755,439,0.14697429398074746,27160,13605,17.5,0.930162949598534,0.040844538149633694,0.058831907053189664
