target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_epochs,sd_epochs,se_epochs,mean_final_scaled_loss,sd_final_scaled_loss,se_final_scaled_loss,mean_best_internal_validation_score,sd_best_internal_validation_score,se_best_internal_validation_score
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,5,0.9336359133477373,0.007604821597593069,0.0034009796097953307,0.04072479184607796,0.002398918799996618,0.0010728291018589318,0.056598755882983486,0.0035396148963239334,0.0015829639044702372,46.24013077521231,15.873881632299511,7.099015679321405,139.0,29.512709126747414,13.198484761517134,0.02191653353186796,0.0013256568368543635,0.000592851760408741,0.9441367748779683,0.004392006832762766,0.001964165167140219
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.001,12704,225,12929,5,0.9293532909319451,0.006179788667935103,0.0027636855096171533,0.04169926234727238,0.001692859054393879,0.0007570695843901455,0.05843290159579963,0.0028643310632934364,0.0012809677935176752,42.33953341080341,16.7070240550002,7.471608297740926,125.4,21.33775995740884,9.542536350467836,0.010792015074278346,0.0017869748600918354,0.000799159452249704,0.9394588468125388,0.006152294845935812,0.002751389898626814
target_fodft_coupling_abs_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,5,0.9308080755705275,0.007437012208358857,0.0033259329694772465,0.041723497957057806,0.0020986777016420433,0.0009385572007469262,0.0577973485220013,0.0032283000293914276,0.0014437396634967602,41.00981937001925,12.599303183748551,5.634579677598257,113.0,34.677081768799404,15.508062419270821,0.01069770293391262,0.003878434239742799,0.001734488521265523,0.9410935004315581,0.007149714198837803,0.003197449393659355
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.0001,7888,177,8065,5,0.9225527931598432,0.010142694198728463,0.004535950740669921,0.042257164686431745,0.0028350807341053423,0.0012678866486319103,0.06112646907899254,0.00451045505096847,0.0020171368206845556,32.81845327843912,10.012685286028752,4.477808987374443,131.6,62.3642525811061,27.89014162746399,0.010842633503359964,0.0042395839246017215,0.0018959995703449583,0.9363269154338433,0.013255517471540483,0.0059280476286601306
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.01,7888,177,8065,5,0.9190431156883336,0.012636544502045863,0.005651234501455156,0.042486780436576575,0.002271100088008126,0.001015666836098385,0.06245091002840257,0.005327371265976728,0.002382472858420615,16.637786110606974,3.7788402932071787,1.6899487543452976,138.0,52.64978632435273,23.5457002444183,0.0217962451416881,0.0035495348542054703,0.0015874002445016473,0.9362116930321515,0.014433423638663219,0.006454823280820664
target_fodft_coupling_abs_ev,64-64-32-16,"(64, 64, 32, 16)",4,0.001,7888,177,8065,5,0.9216124616836447,0.009013004981224152,0.004030738363912284,0.0430215111848639,0.0023579477380522287,0.00105450628593533,0.06150818605895734,0.0037649727652262275,0.0016837470072962402,25.84133656457998,6.686955251812083,2.9904973011102083,134.0,61.77782773778955,27.627884464793897,0.01202775744600924,0.003287294702451003,0.0014701228833510773,0.9356244487103262,0.012645647494536429,0.005655305483456671
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,5,0.9238477424117264,0.008628134365947714,0.003858618992252227,0.04334187901547328,0.002927834503575617,0.001309367395372886,0.060636969811668565,0.003711138638376161,0.001659671653867021,18.227977289818227,5.875717126176309,2.627700582137987,177.4,41.2831684830513,18.462394210935916,0.022328820485122934,0.0018608958509003298,0.00083221792433209,0.9397101399283938,0.005283847231085834,0.0023630083182863927
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,5,0.9059880901252523,0.03583556741400778,0.016026152949999546,0.044783972838709676,0.00282353810796089,0.0012627246292923379,0.06667860662385842,0.012425064511437135,0.005556657774478729,15.099924972001464,5.130868252528565,2.2945940392498856,161.2,40.690293682892,18.197252539875354,0.021824480457803993,0.011015971605939806,0.004926492269817786,0.939400377013764,0.005348081929291981,0.0023917349486270185
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,5,0.905395198390074,0.02668769862485142,0.011935101657639086,0.04533232315754682,0.0024960726363932447,0.001116277618350482,0.06722607209890427,0.009445238073374754,0.004224038879147019,9.191048208018765,2.264913325158202,1.012900031639765,137.0,21.88606862823929,9.787747442593725,0.01783884064346821,0.0021740738587307583,0.00097227538724545,0.9374621500064046,0.005361431231892717,0.0023977049382405105
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,5,0.9162402686489353,0.00794163725696607,0.003551608151844219,0.045850801866443504,0.002025371024479452,0.0009057734580788891,0.06359904818706882,0.002876581726341299,0.0012864464565865684,10.340812097396702,8.048849545517623,3.5995549448891384,288.4,104.47631310493303,46.72322762823647,0.023666573251646738,0.0032013701176683484,0.0014316962408485855,0.9230098553520012,0.019778022892526555,0.008845000729647279
