target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,fold,n_fold_train,n_fold_validation,fit_seconds,epochs,final_scaled_loss,best_internal_validation_score,r2,mae,rmse
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,1,1755,439,0.5790119140874594,174,0.04239289435935906,0.8337926224679544,0.8790931150422201,0.05519859195859542,0.07587882061830169
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,2,1755,439,0.8482619789429009,257,0.039444208819146835,0.866192918764424,0.898031095678009,0.051475217207908056,0.06881225479621952
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,3,1755,439,1.4279254550347105,397,0.03333152607237106,0.8786597893240375,0.9072581401326221,0.049195148974520875,0.06721505908903648
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,4,1755,439,1.0219011900480837,304,0.03695654085417409,0.8777015917824311,0.8486998835753592,0.05352956255332164,0.08659436129160349
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,5,1756,438,1.6140831270022318,486,0.030571118896925764,0.8889167885899204,0.8945137430013618,0.052950452871574585,0.07240420711280135
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,1,1755,439,0.5482699749991298,166,0.04339473503325493,0.8314014515608078,0.8766509696136622,0.055171527029981106,0.07664131116287516
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,2,1755,439,1.084993559983559,329,0.037573635162285686,0.8693785689630309,0.9036363730704136,0.05013888772371875,0.06689420260197984
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,3,1755,439,0.7080595419974998,211,0.04073289760586807,0.8691279271527865,0.8925157467970907,0.05276483111685786,0.07236042448559789
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,4,1755,439,1.0175021749455482,304,0.03725344039614595,0.8779153747623979,0.8357069552543438,0.05383162945912081,0.0902359450842107
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,5,1756,438,1.7188729309709743,502,0.03074369369863516,0.8896819463117983,0.8948700095190179,0.05289715036104091,0.07228183566685546
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,1,1755,439,0.54758821206633,166,0.04545083849088723,0.8315302037356442,0.8773291062334072,0.054907398425244114,0.07643034513418766
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,2,1755,439,1.5969002629863098,461,0.035960793767179415,0.8730147176076731,0.9027204117491806,0.05064693951394082,0.06721137407680464
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,3,1755,439,2.0030939129646868,552,0.032149985915284125,0.892785897358576,0.9127783098711798,0.04799703713524769,0.06518398887059701
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,4,1755,439,1.178527912008576,312,0.04001904307585412,0.8787567003716847,0.8309928375317959,0.054280330108996584,0.0915213752184972
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,5,1756,438,1.8322088639251888,502,0.033508023625457656,0.8921732889889874,0.8977465820920233,0.05174595719470221,0.0712860872151264
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,1,1755,439,1.018355992040597,267,0.030791635700603164,0.8972198404417281,0.9054856593470432,0.04927198598295918,0.06708785562608495
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,2,1755,439,0.8318444610340521,228,0.032092425852770355,0.9150680775894814,0.9011355260119527,0.04936373296781038,0.06775666822032932
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,3,1755,439,0.9339554760372266,255,0.0314638024596761,0.8643419707190766,0.885660695658643,0.048459740441332846,0.07463223662095907
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,4,1755,439,1.1038626389345154,247,0.032871298778643865,0.8987566464107525,0.7981768299421428,0.05352711923925705,0.10001277875063833
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,5,1756,438,1.5209715499076992,306,0.02680348835139902,0.8570926169903883,0.8966606505968074,0.0506153916531595,0.07166361671309855
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,1,1755,439,1.1486225730041042,267,0.030845244218741838,0.8967531221308439,0.9045360088162026,0.04989305302812552,0.06742405213162014
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,2,1755,439,1.327881254022941,228,0.032692361053208614,0.9151394609666896,0.8999052595154173,0.04948572802150525,0.0681769457381795
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,3,1755,439,1.476370024960488,309,0.030154706253689458,0.8664966880101318,0.8899654432941154,0.04750970543295398,0.07321384800518728
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,4,1755,439,0.9132670679828152,247,0.032922190208995845,0.9002091182327008,0.7783833623854994,0.053532782142735776,0.10480238423571589
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,5,1756,438,0.6195450420491397,157,0.037574114025579836,0.8456587703215088,0.8842827348745582,0.05397753437374378,0.07583417060654338
target_fodft_coupling_abs_ev,32,"(32,)",1,0.01,640,33,673,1,1755,439,1.6057382919825613,339,0.030127061780211163,0.9032879902067202,0.9178269207123504,0.04628524945488626,0.06255468432348767
target_fodft_coupling_abs_ev,32,"(32,)",1,0.01,640,33,673,2,1755,439,1.2811564049916342,228,0.034994996884071594,0.9163480489230881,0.901320656751283,0.04928453414282487,0.06769319891032828
target_fodft_coupling_abs_ev,32,"(32,)",1,0.01,640,33,673,3,1755,439,3.033257386996411,332,0.032218985218365505,0.8753106495225184,0.8940545682782038,0.04708095247676063,0.07184057533699795
target_fodft_coupling_abs_ev,32,"(32,)",1,0.01,640,33,673,4,1755,439,9.69904613099061,695,0.02613090457849074,0.9174148169035898,0.5231648007060525,0.051134263070262205,0.15372841010143865
target_fodft_coupling_abs_ev,32,"(32,)",1,0.01,640,33,673,5,1756,438,1.145527957007289,260,0.031403506778148245,0.8528144140264621,0.8987783917195681,0.04971291877480515,0.07092551166210988
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,1,1755,439,0.9901443860726431,137,0.02473518120206744,0.9092111333497911,0.9221649892280436,0.04485831080256317,0.06088110844263437
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,2,1755,439,1.248439350980334,143,0.02361216005259726,0.9030264363353713,0.9075113997369859,0.04665111702963405,0.06553540924752933
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,3,1755,439,1.6083339580800384,184,0.023998391090601597,0.9301753000697117,0.9077366046489612,0.0460450384327562,0.06704145028219714
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,4,1755,439,1.1601946749724448,205,0.023287628554463726,0.911472141623028,0.8976701141945698,0.04734205922347147,0.07121495872294462
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.0001,1136,49,1185,5,1756,438,21.586892898078077,467,0.013939087125474474,0.9476708626888932,0.9075853504929622,0.04780319845739988,0.06776981048859528
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,1,1755,439,1.081057253992185,166,0.023162949570420907,0.9105343580434505,0.9246176089972229,0.04489119891122593,0.05991423385085761
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,2,1755,439,3.5341240339912474,188,0.020823205813822854,0.9067833829164621,0.9049165642328586,0.04693309652669585,0.06644837206387759
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,3,1755,439,1.1102684380020946,184,0.023048596202263412,0.9287315073289191,0.9048659000093535,0.046903206607881845,0.06807643287835755
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,4,1755,439,1.3056111650075763,205,0.02344218163561873,0.9110895195056528,0.9140481102689798,0.04648893978423469,0.06526760806436013
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.001,1136,49,1185,5,1756,438,17.72590151906479,356,0.01726512772534307,0.9408325762746169,0.9010891454759609,0.04877533888185701,0.0701112706032649
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,1,1755,439,0.8744256990030408,166,0.028316586844664624,0.9070744137925592,0.9208200736372502,0.04592134050783403,0.0614048398087834
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,2,1755,439,9.920567031949759,188,0.02570432968447022,0.9034754884522189,0.9085409278275179,0.046627437527620094,0.0651696379125055
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,3,1755,439,23.022674888023175,327,0.021879920401590133,0.940121268735337,0.9152633529268475,0.04449595622284302,0.06424869664594843
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,4,1755,439,7.424885572982021,372,0.021309292834923183,0.916894688447071,0.9273073392657966,0.043474437859765805,0.060022663718265166
target_fodft_coupling_abs_ev,32-16,"(32, 16)",2,0.01,1136,49,1185,5,1756,438,10.461507295025513,389,0.021122736492585524,0.9474834173328196,0.9092696495872642,0.048734837214154565,0.06714940284984167
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,1,1755,439,8.042077839025296,113,0.01958807844241849,0.9352329220776252,0.9238716786644661,0.0440992875526839,0.0602099383768248
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,2,1755,439,8.352010624017566,146,0.015306465677856427,0.9357855864807074,0.9073544316521175,0.04541120211471148,0.06559099775622158
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,3,1755,439,7.430453473003581,130,0.0178161160411578,0.9319396250116532,0.9236215277218391,0.041824763011472414,0.06099779947305223
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,4,1755,439,9.019682469079271,126,0.020375829836229348,0.9381604273094734,0.859379553546815,0.04799943727621424,0.0834822639930374
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.0001,3296,97,3393,5,1756,438,13.11101663496811,170,0.016107713219678983,0.946192189152564,0.9127488003651317,0.04732692583265203,0.06584936089538533
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,1,1755,439,19.37089338595979,226,0.014127781608435676,0.9400301724848473,0.933664370696027,0.04160578566847305,0.05620416275297669
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,2,1755,439,13.80549893702846,143,0.017478448126399666,0.9364179509821619,0.9141772598683339,0.04505108297189942,0.06312960916756911
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,3,1755,439,10.521140348981135,118,0.01946031530065714,0.9333359980168764,0.9246683570421935,0.04221423699628925,0.0605783449515532
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,4,1755,439,10.282431166036986,149,0.04123265606231023,0.9395519928145876,0.8435929981382191,0.047741232992306315,0.08804365792339522
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.001,3296,97,3393,5,1756,438,21.519661022000946,170,0.016823201191217243,0.9476657707703464,0.9138374648814882,0.04730752556458038,0.0654372583237979
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,1,1755,439,19.257802009000443,196,0.022598130804704502,0.9377174445976991,0.9348265328644565,0.04072793900181567,0.05570965496610739
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,2,1755,439,10.467573528061621,123,0.02412922238879999,0.9362816531630864,0.9174814627204253,0.04466795757918646,0.06190242646663714
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,3,1755,439,24.00789112399798,213,0.021308617250897843,0.9352721566173317,0.9303038120469513,0.03991218438464952,0.05826841392298472
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,4,1755,439,14.069061552057974,144,0.023919037528291803,0.9409212859352915,0.9224230679193443,0.044515916615745346,0.06200636643413909
target_fodft_coupling_abs_ev,64-32,"(64, 32)",2,0.01,3296,97,3393,5,1756,438,23.33755823597312,211,0.019689094452920525,0.9483581593285607,0.9142038365074548,0.046885397495969414,0.06529798726847448
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,1,1755,439,6.912892977939919,49,0.026064610570619876,0.8518288048408852,0.8900729330587575,0.05274557762739871,0.07235147280193364
