target,architecture,alpha,train_fraction,fold,n_training_structures,n_validation_structures,fit_seconds,epochs,r2,mae,rmse
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,1,438,439,5.292413799907081,75,0.8262408829704873,0.05854458215210287,0.0909638548393377
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,2,438,439,6.183200923958793,132,0.5461109127313701,0.06000315359004938,0.14517999697483958
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,3,438,439,3.1156975789926946,47,0.8103634609248821,0.06259405259402896,0.09611467340674855
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,4,438,439,5.617775733000599,48,-156.2174202945869,0.19648126189376222,2.7913886937462737
target_fodft_coupling_abs_ev,128-64-32,0.01,0.25,5,439,438,9.260818750946783,82,0.8727571613300039,0.05515483966911651,0.07952112865466288
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,1,877,439,34.01352697098628,209,0.9306739107646442,0.041422006082485543,0.05745706091567681
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,2,877,439,22.931697565945797,129,0.9029640097360125,0.0471802528130315,0.06712716926980845
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,3,877,439,35.33291611704044,233,0.9003480894755721,0.04609703766932342,0.06967412107998078
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,4,877,439,21.181804114952683,112,0.9082173464264749,0.048364768724061084,0.067445081993928
target_fodft_coupling_abs_ev,128-64-32,0.01,0.5,5,878,438,18.531187357963063,97,0.9085383900104211,0.04866555146568301,0.06741946187763329
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,1,1316,439,33.90692577196751,136,0.9315152983045232,0.04187015337360435,0.057107327970355226
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,2,1316,439,26.722434413968585,111,0.9137111444261813,0.04605637803112759,0.06330080994728071
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,3,1316,439,11.160563566954806,34,0.7911009305955723,0.06840975479673346,0.10087810998631526
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,4,1316,439,28.54372441105079,193,0.9229325219683032,0.04194649453924139,0.06180243063053923
target_fodft_coupling_abs_ev,128-64-32,0.01,0.75,5,1317,438,23.98899803601671,114,0.9213447655707955,0.04465752180887683,0.06252154128126654
target_fodft_coupling_abs_ev,128-64-32,0.01,1.0,1,1755,439,34.646682503051125,160,0.9466862823678621,0.03661583737987611,0.050386540342347116
