descriptor,system,system_name,n,mean,median,p05,q25,q75,p95,min,max
stack_plane_normal_angle_deg,phenalenyl,Phenalenyl,252,20.642013,15.094223,1.772744,6.267111,27.443932,65.142035,5.7e-05,87.861715
stack_plane_normal_angle_deg,olympicenyl,Olympicenyl,532,10.690025,5.236687,0.791399,2.622399,9.49651,50.327417,2.6e-05,89.692855
stack_plane_normal_angle_deg,fluorenyl,Fluorenyl,367,35.767915,24.953406,1.824503,8.110888,63.2385,86.615503,0.075746,89.434075
stack_plane_normal_angle_deg,CPBP,CPBP,793,4.307258,2.253281,0.424125,1.127299,3.993628,9.085385,0.079538,85.495294
stack_plane_normal_angle_deg,phenalenyl_olympicenyl,Phenalenyl-olympicenyl,638,18.5157,9.808502,1.477538,5.179219,23.964797,70.205617,0.23711,89.940766
contact_min_cc_distance,phenalenyl,Phenalenyl,252,2.866599,2.785941,2.318278,2.545576,3.152659,3.492461,2.153601,4.454317
contact_min_cc_distance,olympicenyl,Olympicenyl,532,2.968754,2.957276,2.582646,2.769378,3.124714,3.420217,2.416842,5.623034
contact_min_cc_distance,fluorenyl,Fluorenyl,367,3.194863,3.174873,2.531256,2.814262,3.509364,3.915655,2.314158,6.347646
contact_min_cc_distance,CPBP,CPBP,793,3.016867,3.00662,2.819603,2.940984,3.093276,3.179111,2.764077,4.640426
contact_min_cc_distance,phenalenyl_olympicenyl,Phenalenyl-olympicenyl,638,3.0549,3.069449,2.480055,2.68419,3.202729,3.558137,2.136228,7.411607
mean_top10_closest_c_distances,phenalenyl,Phenalenyl,252,3.209829,3.109311,2.858689,2.971599,3.353287,3.809869,2.731832,4.606399
mean_top10_closest_c_distances,olympicenyl,Olympicenyl,532,3.184014,3.131791,2.927777,3.039178,3.234312,3.669711,2.804415,5.805643
mean_top10_closest_c_distances,fluorenyl,Fluorenyl,367,3.515976,3.388104,2.85465,3.066751,3.835468,4.556569,2.739969,6.948093
mean_top10_closest_c_distances,CPBP,CPBP,793,3.134226,3.119643,2.963413,3.064157,3.180954,3.244447,2.913418,4.743963
mean_top10_closest_c_distances,phenalenyl_olympicenyl,Phenalenyl-olympicenyl,638,3.338247,3.224537,2.908701,3.020873,3.427161,3.972589,2.726058,7.860632
projected_pi_overlap_fraction_min,phenalenyl,Phenalenyl,252,0.499915,0.540704,0.0,0.33287,0.705394,0.854088,0.0,0.997601
projected_pi_overlap_fraction_min,olympicenyl,Olympicenyl,532,0.54683,0.568104,0.129822,0.434376,0.701232,0.830246,0.0,0.872475
projected_pi_overlap_fraction_min,fluorenyl,Fluorenyl,367,0.213963,0.157208,0.0,0.0,0.415507,0.564224,0.0,0.755616
projected_pi_overlap_fraction_min,CPBP,CPBP,793,0.577148,0.558895,0.39083,0.483727,0.662136,0.809898,0.06874,0.995618
projected_pi_overlap_fraction_min,phenalenyl_olympicenyl,Phenalenyl-olympicenyl,638,0.506827,0.529989,0.0,0.257778,0.73374,0.965932,0.0,0.9992
pi_projected_area_mean,phenalenyl,Phenalenyl,252,17.294389,17.685018,15.048252,17.339517,17.808716,17.83758,12.846196,17.85561
pi_projected_area_mean,olympicenyl,Olympicenyl,532,29.462452,29.820634,27.052036,29.749155,29.846576,29.859917,21.105577,29.901213
pi_projected_area_mean,fluorenyl,Fluorenyl,367,16.089654,17.065687,12.741854,14.909713,17.436818,17.492398,12.422012,17.505006
pi_projected_area_mean,CPBP,CPBP,793,53.364878,53.564204,53.311464,53.508979,53.598882,53.631965,39.036863,53.729112
pi_projected_area_mean,phenalenyl_olympicenyl,Phenalenyl-olympicenyl,638,23.153533,23.759414,19.51903,23.34086,23.825232,23.853093,16.885972,23.907477
