id,system,orca_index,fodft_status,fragment_a_alpha_somo_index,fragment_b_alpha_somo_index_local,fragment_b_alpha_somo_index_merged,projected_block_first,projected_block_second,h_aa_hartree,h_bb_hartree,h_ab_hartree,raw_fragment_somo_overlap_s_ab,fragment_somo_a_norm,fragment_somo_b_norm,lowdin_corrected_t_fo_hartree,target_fodft_coupling_abs_ev,target_fodft_coupling_abs_mev,site_energy_mismatch_abs_ev,generalized_two_state_splitting_ev,half_generalized_splitting_ev,block_eigenvalue_low_ev,block_eigenvalue_high_ev,case_archive_dir,split_method,projection_fragment_order,merge_id,tfo_reconstructed_ev,splitting_reconstructed_ev,orthogonalized_site_a_ev,orthogonalized_site_b_ev,overlap_matrix_min_eigenvalue,tfo_reconstruction_error_ev,splitting_reconstruction_error_ev,overlap_denominator,max_norm_deviation,flag_orbital_norm,flag_overlap_conditioning,flag_fock_diagonal,flag_reconstruction,flag_projection_order,review_high_tfo_gt_5ev,numerical_qc_status,bs_s2_filter_status,stack_interplane_distance,stack_lateral_slip,projected_pi_overlap_area,projected_pi_overlap_fraction_min,n_interfragment_c_contacts_3p4,contact_min_cc_distance
phenalenyl_0,phenalenyl,0,OK,43,43,87,43,44,-0.216607,-0.216572,0.081,-0.1703443578807604,1.0000000000000022,0.9999999999999968,0.0454232564270729,1.2360297751876377,1236.0297751876374,0.0009523985186097,2.4720597393209403,1.23602986966047,-8.097826,-3.689568,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_0,equal_contiguous_halves,A_then_B,phenalenyl_orca_0,1.2360297751876368,2.4720597393209447,-5.683633105283696,-5.682666580615458,0.8296556421192396,8.881784197001252e-16,4.440892098500626e-15,0.9709827997381915,3.219646771412954e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.775062642911271,0.00545277135604,15.239949486246132,0.8543418171981958,49.0,2.731058901580892
phenalenyl_1,phenalenyl,1,OK,43,43,87,43,44,-0.216773,-0.216878,-0.08138,0.1707696811210454,0.9999999999999986,0.999999999999998,-0.0456850591758842,1.2431537909058037,1243.1537909058036,0.0028571955558285,2.486309272829855,1.2431546364149275,-8.114579,-3.685678,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_1,equal_contiguous_halves,A_then_B,phenalenyl_orca_1,1.243153790905805,2.486309272829861,-5.686379556694372,-5.68927934734976,0.8292303188789547,1.3322676295501878e-15,5.773159728050814e-15,0.9708377160098165,1.9984014443252818e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.774417401250054,0.0229234915878986,15.235559287151895,0.8542753836617357,49.0,2.66243410429437
phenalenyl_2,phenalenyl,2,OK,43,43,87,43,44,-0.216095,-0.216113,0.078783,-0.1659858515942479,0.9999999999999956,1.0000000000000018,0.044128593782222,1.2008002099003494,1200.8002099003495,0.0004898049524275,2.401600471163516,1.200800235581758,-8.024286,-3.736691,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_2,equal_contiguous_halves,A_then_B,phenalenyl_orca_2,1.2008002099003507,2.401600471163525,-5.680925220348452,-5.681421915387807,0.8340141484057522,1.3322676295501878e-15,8.881784197001252e-15,0.9724486970705323,4.440892098500626e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.7964755244000834,0.0518054791344953,15.23369567368532,0.8541798117212788,49.0,2.651359311074558
phenalenyl_3,phenalenyl,3,OK,43,43,87,43,44,-0.216756,-0.21681,0.081037,-0.1695604584719207,0.9999999999999968,1.0000000000000018,0.0455899194661016,1.2405649075155782,1240.5649075155782,0.0014694148572833,2.4811302630317957,1.2405651315158976,-8.104106,-3.693827,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_3,equal_contiguous_halves,A_then_B,phenalenyl_orca_3,1.240564907515578,2.4811302630317966,-5.6878696876185355,-5.689360692544462,0.8304395415280793,2.220446049250313e-16,8.881784197001252e-16,0.971249250922792,3.219646771412954e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.784326576259672,0.0242873012071025,15.231614092122728,0.8541654061680426,49.0,2.592702339714882
phenalenyl_4,phenalenyl,4,OK,43,43,87,43,44,-0.222144,-0.222188,0.08963,-0.1779264107154557,1.0000000000000009,0.999999999999999,0.0517387359879193,1.407882728846474,1407.8827288464738,0.0011973009948231,2.815765720569191,1.4078828602845954,-8.484409,-3.60647,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_4,equal_contiguous_halves,A_then_B,phenalenyl_orca_4,1.4078827288464741,2.8157657205691895,-5.794336958499227,-5.795553673649241,0.8220735892845443,2.220446049250313e-16,1.3322676295501878e-15,0.9683421923699149,9.992007221626409e-16,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.7780362499529647,0.0164137403716904,15.199839817886025,0.85377431254235,49.0,2.2308485309590247
phenalenyl_5,phenalenyl,5,OK,43,43,87,43,44,-0.223906,-0.223927,-0.092356,0.1797842129646943,1.0000000000000016,1.0000000000000009,-0.0538395704293267,1.4650493462704834,1465.0493462704835,0.0005714391111655,2.930098750124325,1.4650493750621625,-8.606213,-3.579951,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_5,equal_contiguous_halves,A_then_B,phenalenyl_orca_5,1.4650493462704832,2.9300987501243196,-5.829395172513992,-5.82997607683819,0.8202157870353057,2.220446049250313e-16,5.329070518200751e-15,0.9676776367686655,1.5543122344752192e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,2.780664810116881,0.0112541132371363,15.190293946994124,0.853847664400211,49.0,2.1628860959825342
phenalenyl_6,phenalenyl,6,OK,43,43,87,43,44,-0.208007,-0.208007,0.051917,-0.1160920867841278,1.000000000000003,0.9999999999999996,0.0281483997765675,0.7659569785266618,765.9569785266618,0.0,1.5319139570533251,0.7659569785266627,-7.072877,-4.247413,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_6,equal_contiguous_halves,A_then_B,phenalenyl_orca_6,0.765956978526663,1.531913957053327,-5.571237274845196,-5.571237274845196,0.8839079132158723,1.2212453270876722e-15,1.7763568394002505e-15,0.9865226273861065,3.1086244689504383e-15,False,False,False,False,False,False,PASS,INCLUDED_NO_FILTER,3.0905337922422755,0.0058885805572319,15.2407990937443,0.8543882013060478,33.0,3.0696804752013875
phenalenyl_7,phenalenyl,7,OK,43,43,87,43,44,-0.212809,-0.213196,-0.065191,0.1363485278847815,1.0000000000000002,0.9999999999999968,-0.0368331855337332,1.002282038228553,1002.2820382285532,0.0105308064771973,2.004592261597369,1.0022961307986844,-7.570021,-4.022156,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_7,equal_contiguous_halves,A_then_B,phenalenyl_orca_7,1.0022820382285529,2.004592261597373,-5.654118577648708,-5.664748659197761,0.8636514721152184,2.220446049250313e-16,3.9968028886505635e-15,0.9814090789436529,3.219646771412954e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,3.0025497408030866,0.0534013675200987,15.154469026897774,0.8554680501601785,31.0,2.5461740709916607
phenalenyl_8,phenalenyl,8,OK,43,43,87,43,44,-0.212404,-0.212601,0.062136,-0.1293622583886566,0.9999999999999988,1.0000000000000009,0.0352358544007184,0.9588164438053456,958.8164438053454,0.0053606430904597,1.917640507816448,0.958820253908224,-7.473288,-4.091682,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_8,equal_contiguous_halves,A_then_B,phenalenyl_orca_8,0.9588164438053455,1.9176405078164527,-5.655749911131329,-5.661155979243114,0.8706377416113433,1.1102230246251565e-16,4.6629367034256575e-15,0.9832654061045865,1.2212453270876722e-15,False,False,False,False,False,False,PASS,LOW_S2_INCLUDED_NO_FILTER,3.075092190196646,0.0289293015615789,15.11496694118996,0.8540255556947907,28.0,2.490781135755427
phenalenyl_9,phenalenyl,9,OK,43,43,87,43,44,-0.211245,-0.210693,0.05733,-0.1218867421610106,1.0000000000000009,1.0000000000000024,0.0320924535105946,0.8732801480582051,873.2801480582051,0.0150206852077852,1.7466258590245267,0.8733129295122634,-7.300809,-4.180723,/home/rb1820/BLA-ML/FODFT_4Target_Complete_Run_20260629_211000/fodft_couplings/case_summaries/phenalenyl/orca_9,equal_contiguous_halves,A_then_B,phenalenyl_orca_9,0.873280148058204,1.7466258590245276,-5.6418844329425575,-5.62675091243572,0.8781132578389894,1.1102230246251565e-15,8.881784197001252e-16,0.9851436220853753,2.4424906541753444e-15,False,False,False,False,False,False,PASS,INCLUDED_NO_FILTER,3.0898275724571764,0.1707649367585001,15.102468269282893,0.8522524194268305,27.0,2.6207728359618256
