system,target,model_family,model,feature_group,n_samples,mae,rmse,r2
CPBP,target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,793,0.04076664635105934,0.05812403791768777,0.9083816664670583
fluorenyl,target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,367,0.026648212733900483,0.0488009282955849,0.9373976066023035
olympicenyl,target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,532,0.03961339670303079,0.05637039908478077,0.9342391602994555
phenalenyl,target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,252,0.03272114315834508,0.05843864445289084,0.9645691431470265
phenalenyl_olympicenyl,target_fodft_coupling_abs_ev,extra_trees,extra_trees,core15_plus_asymmetry19,638,0.031400536524493664,0.04613917294354985,0.9538367213147778
CPBP,target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,793,0.03346468939890728,0.045620075712840776,0.4657140909396621
fluorenyl,target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,367,0.044186420796678595,0.06787743053806113,0.7398704395990872
olympicenyl,target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,532,0.029671293439849835,0.03931761121827555,0.8030378694111099
phenalenyl,target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,252,0.03756488133597955,0.07542456420171706,0.8246739855093663
phenalenyl_olympicenyl,target_frontier_gap_ev,extra_trees,extra_trees,core15_plus_asymmetry19,638,0.038996431915211356,0.05974664560582873,0.7533172780066988
CPBP,target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,793,0.7824200304641242,1.1268445081230454,0.857864453503534
fluorenyl,target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,367,0.6715987297293907,1.0695168631193086,0.8361830257394647
olympicenyl,target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,532,0.8768100794791498,1.2674667622190985,0.8250043400439689
phenalenyl,target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,252,0.8801547740458379,1.3277356029985619,0.8679164936126502
phenalenyl_olympicenyl,target_interaction_energy_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,638,0.6885256268838216,0.9674826643180617,0.8944543068061276
CPBP,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,793,0.5781159595982694,0.8903869833283232,0.9401199714741861
fluorenyl,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,367,0.37202915852928337,1.1764930838967762,0.9055536302472313
olympicenyl,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,532,0.5582637765667559,0.8984264656369733,0.9676297660041316
phenalenyl,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,252,0.6337069457411095,1.4985093858750795,0.969311493781501
phenalenyl_olympicenyl,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,extra_trees,core15_plus_asymmetry19,638,0.4539347613484604,0.9673877527541924,0.9640158455666896
