target,model_family,model,feature_group,n_samples,n_features,mae,rmse,r2
target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.040503346936334096,0.05713573056795347,0.9334368221556677
target_fodft_coupling_abs_ev,mlp,mlp_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.045789081211819536,0.06628925294785515,0.9104006771503661
target_fodft_coupling_abs_ev,mlp,mlp_128_64_32_a1e-4,core15_plus_asymmetry19,2582,19,0.048463608156516444,0.10883519083497441,0.7584777397970054
target_fodft_coupling_abs_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,2582,19,0.05096639613754615,0.09245865460031624,0.825693486099927
target_fodft_coupling_abs_ev,mlp,mlp_128_64_32_a1e-3,core15_plus_asymmetry19,2582,19,0.05117867386090368,0.08065038008440449,0.8673731927447524
target_fodft_coupling_abs_ev,mlp,mlp_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.05121995255159105,0.09277477245811871,0.8244995340924726
target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,2582,19,0.046108213988790454,0.06419593612047375,0.9687945112895348
target_frontier_gap_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.046221094419971166,0.0651700400776199,0.9678403071557257
target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.04650423535013807,0.06421756776796461,0.9687734775636717
target_frontier_gap_ev,mlp,mlp_128_64_32_a1e-4,core15_plus_asymmetry19,2582,19,0.04654253604603396,0.06668129350445377,0.9663314860814041
target_frontier_gap_ev,mlp,mlp_128_64_32_a1e-3,core15_plus_asymmetry19,2582,19,0.047511679305650874,0.06696514609332148,0.9660442320257927
target_frontier_gap_ev,mlp,mlp_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.04919018482638895,0.07349067458879747,0.9591040422180709
target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.8670219896635314,1.2554867225938797,0.9341005850775974
target_interaction_energy_kcal_mol,mlp,mlp_128_64_32_a1e-3,core15_plus_asymmetry19,2582,19,0.8748135506900186,1.2725384859795694,0.9322983642335665
target_interaction_energy_kcal_mol,mlp,mlp_128_64_32_a1e-4,core15_plus_asymmetry19,2582,19,0.911423368511521,1.3322048135659637,0.9258007855385406
target_interaction_energy_kcal_mol,mlp,mlp_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.9138284538384772,1.2836624702193447,0.9311095536350242
target_interaction_energy_kcal_mol,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,2582,19,0.9155685693408041,1.641064744679733,0.887407686867848
target_interaction_energy_kcal_mol,mlp,mlp_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.9640534972170366,1.5661560433533641,0.8974519582097094
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.624786290642653,1.0462201525927943,0.9576301420345958
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,2582,19,0.7059786272222048,2.1871455329694385,0.8148318832468009
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.7111591783636655,1.2349958272694201,0.9409606148433399
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_32_16_a1e-4,core15_plus_asymmetry19,2582,19,0.7232219635553785,2.0989808243852215,0.8294593995918046
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_128_64_32_a1e-3,core15_plus_asymmetry19,2582,19,0.7779557193935897,1.4829730293507666,0.9148710354702808
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_128_64_32_a1e-4,core15_plus_asymmetry19,2582,19,0.7876237805784582,1.6162250677176628,0.8988852476789725
