system,target,model_family,model,feature_group,n_samples,mae,rmse,r2
CPBP,target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,793,0.04513851431747593,0.06075377164061466,0.8999038618572439
fluorenyl,target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,367,0.03458110116832919,0.05295015608623987,0.9262996992438823
olympicenyl,target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,532,0.043371498049553495,0.05906322389578533,0.9278062787042143
phenalenyl,target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,252,0.038670455643147805,0.05792868025170297,0.9651848190112603
phenalenyl_olympicenyl,target_fodft_coupling_abs_ev,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,638,0.03648110348376759,0.05269337729401889,0.9397899337196656
CPBP,target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,793,0.04407385198104915,0.058724931063056034,0.11466680452738287
fluorenyl,target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,367,0.05951821116237948,0.08862920684983638,0.5565010003091744
olympicenyl,target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,532,0.0381171900754019,0.049789777759891685,0.6841441963955706
phenalenyl,target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,252,0.047619858076059306,0.06764490268028651,0.8589766931904537
phenalenyl_olympicenyl,target_frontier_gap_ev,mlp,mlp_64_32_16_a1e-3,core15_plus_asymmetry19,638,0.04698920226678831,0.06323550222112656,0.723666446846293
CPBP,target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,793,0.9316703850926388,1.2437295534760748,0.8268483529037867
fluorenyl,target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,367,0.8169573156998247,1.2723633861568642,0.7681506121111652
olympicenyl,target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,532,0.9283679893944606,1.3539840287714537,0.8002985572564827
phenalenyl,target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,252,0.953478099152449,1.4300720300827099,0.8467709133565751
phenalenyl_olympicenyl,target_interaction_energy_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,638,0.7301639117972879,1.090281760711613,0.8659608619493232
CPBP,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,793,0.7451957227307595,1.0528173994146304,0.9162797529483826
fluorenyl,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,367,0.513444911573295,1.1973688294952514,0.9021721725327774
olympicenyl,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,532,0.6295423134066866,0.9527606980317588,0.9635960563794773
phenalenyl,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,252,0.7627972224758138,1.4413520357650742,0.9716079372549397
phenalenyl_olympicenyl,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19,638,0.4806932617087401,0.8061263300575386,0.9750128717876484
