descriptor_1,descriptor_2,spearman_rho,abs_rho,above_0.90
n_interfragment_c_contacts_3p6,n_interfragment_c_contacts_4p0,0.9758959939342093,0.9758959939342093,True
n_interfragment_c_contacts_3p4,n_interfragment_c_contacts_3p6,0.9561585983093457,0.9561585983093457,True
n_interfragment_c_contacts_3p4,n_interfragment_c_contacts_4p0,0.9331213661857104,0.9331213661857104,True
contact_min_cc_distance,mean_top10_closest_c_distances,0.9265220582240069,0.9265220582240069,True
projected_pi_overlap_area,n_interfragment_c_contacts_4p0,0.874452690598688,0.874452690598688,False
projected_pi_overlap_area,pi_projected_area_mean,0.8482487190897533,0.8482487190897533,False
stack_lateral_slip,projected_pi_overlap_fraction_min,-0.8422245413647611,0.8422245413647611,False
pi_projected_area_ratio_min_over_max,delta_overlap_fraction,-0.8372069656950091,0.8372069656950091,False
projected_pi_overlap_area,n_interfragment_c_contacts_3p6,0.8363844935515998,0.8363844935515998,False
pi_projected_area_mean,n_interfragment_c_contacts_4p0,0.8179816540190589,0.8179816540190589,False
bla_fragment_mean,contact_region_bla_mean,0.8010016623763088,0.8010016623763088,False
