,bla_fragment_mean,contact_region_bla_mean,contact_min_cc_distance,stack_interplane_distance,stack_lateral_slip,stack_plane_normal_angle_deg,contact_interfragment_distance_std,projected_pi_overlap_area,projected_pi_overlap_fraction_min,pi_projected_area_mean,n_interfragment_c_contacts_3p4,n_interfragment_c_contacts_3p6,n_interfragment_c_contacts_4p0,mean_top10_closest_c_distances,contact_density_3p6_per_overlap_area,pi_projected_area_ratio_min_over_max,delta_overlap_fraction,delta_contact_atoms_3p4,delta_contact_region_bla
bla_fragment_mean,1.0,0.8010016623763088,-0.08861091200464097,-0.4488543347951235,-0.054862201751343306,-0.3872280268774719,0.6631029801647905,0.5780521388390831,0.023262490536547928,0.5870119610115166,0.5328189676975288,0.55326630483875,0.5533786056830595,-0.2361125388149649,-0.19936731906070113,0.3963500082010674,-0.30045991494709234,0.040190960024673164,-0.2685243997170486
contact_region_bla_mean,0.8010016623763088,1.0,-0.0031195938822291274,-0.4051763695393697,-0.09245055374344319,-0.32483747895244314,0.5228480099521232,0.5282723722692196,-0.002026488911424063,0.49260195938115864,0.4548226158172817,0.46378368260401,0.45647582208744975,-0.1456720897386508,-0.2875076909021089,0.2930329407805029,-0.2560670603556541,0.005628669852860249,-0.2592580268393409
contact_min_cc_distance,-0.08861091200464097,-0.0031195938822291274,1.0,0.4563615282919488,0.2958170666897059,0.14673813593416887,0.10148726772306024,-0.193649939098511,-0.2900393101613833,-0.08643174250227934,-0.5363957200774011,-0.42385597745000486,-0.36809548776065,0.9265220582240069,-0.4294058379279792,0.0025103914517933166,-0.1872115419122464,-0.20607430344200112,-0.014023048410650541
stack_interplane_distance,-0.4488543347951235,-0.4051763695393697,0.4563615282919488,1.0,-0.10695994301264886,0.43463709358301933,-0.38306303077811804,-0.1993671967075566,0.1304725470440859,-0.3108391604346559,-0.5916327308072166,-0.5115967896638075,-0.44814374359895054,0.5786137123020474,-0.4631799262018023,-0.26150453664607665,0.22303034416462456,-0.07498332141054753,0.2507565922741155
stack_lateral_slip,-0.054862201751343306,-0.09245055374344319,0.2958170666897059,-0.10695994301264886,1.0,0.25342701287946384,0.38675064260772835,-0.5829075852527805,-0.8422245413647611,-0.20922373930185062,-0.4193097775682455,-0.4466012203019312,-0.4549321637608753,0.3480017461009697,0.3248401079162104,-0.0928832149431854,-0.23073397224527536,-0.1355506285035811,0.11147662047933546
stack_plane_normal_angle_deg,-0.3872280268774719,-0.32483747895244314,0.14673813593416887,0.43463709358301933,0.25342701287946384,1.0,-0.43927663245792437,-0.619676649446952,-0.32260553875890097,-0.7254187080508016,-0.7228450480683434,-0.762575414545817,-0.7692851582231882,0.33613170666616465,-0.12737612283496255,-0.3370593931726823,0.08263318271930628,-0.11842392389780126,0.4283701587947839
contact_interfragment_distance_std,0.6631029801647905,0.5228480099521232,0.10148726772306024,-0.38306303077811804,0.38675064260772835,-0.43927663245792437,1.0,0.43823294299017923,-0.20898329677376828,0.6985132255647931,0.410188704865396,0.4510774521157263,0.46989824058818846,-0.026149449486415975,-0.10097260855121488,0.20608858895421187,-0.2248561869201765,0.0012136922050646646,-0.24993025224578172
projected_pi_overlap_area,0.5780521388390831,0.5282723722692196,-0.193649939098511,-0.1993671967075566,-0.5829075852527805,-0.619676649446952,0.43823294299017923,1.0,0.7022607539605399,0.8482487190897533,0.7688924989126196,0.8363844935515998,0.874452690598688,-0.3494473585958603,-0.48241525226000825,0.24181534510412173,0.09430099073222392,0.159859313751621,-0.3187274897776702
projected_pi_overlap_fraction_min,0.023262490536547928,-0.002026488911424063,-0.2900393101613833,0.1304725470440859,-0.8422245413647611,-0.32260553875890097,-0.20898329677376828,0.7022607539605399,1.0,0.3503160898105879,0.4854438400903035,0.5345056856761367,0.5606848896778853,-0.35186063325544514,-0.38007924971712165,-0.0314679971189207,0.38751176143549754,0.17114360292852948,-0.08213094074903972
pi_projected_area_mean,0.5870119610115166,0.49260195938115864,-0.08643174250227934,-0.3108391604346559,-0.20922373930185062,-0.7254187080508016,0.6985132255647931,0.8482487190897533,0.3503160898105879,1.0,0.7110508900958535,0.7765386830711783,0.8179816540190589,-0.25308551770158144,-0.28982254577881783,0.23348325390616367,0.0008539460791156203,0.12721893452749358,-0.3350423230270326
n_interfragment_c_contacts_3p4,0.5328189676975288,0.4548226158172817,-0.5363957200774011,-0.5916327308072166,-0.4193097775682455,-0.7228450480683434,0.410188704865396,0.7688924989126196,0.4854438400903035,0.7110508900958535,1.0,0.9561585983093457,0.9331213661857104,-0.7187842305685678,0.10482365519288118,0.31938663922140165,-0.033722140294321405,0.1823829248409687,-0.41585640207493035
n_interfragment_c_contacts_3p6,0.55326630483875,0.46378368260401,-0.42385597745000486,-0.5115967896638075,-0.4466012203019312,-0.762575414545817,0.4510774521157263,0.8363844935515998,0.5345056856761367,0.7765386830711783,0.9561585983093457,1.0,0.9758959939342093,-0.6152154987867957,0.036886278853326834,0.31900410943438984,-0.0240263682514242,0.19481068062922346,-0.4194506047326099
n_interfragment_c_contacts_4p0,0.5533786056830595,0.45647582208744975,-0.36809548776065,-0.44814374359895054,-0.4549321637608753,-0.7692851582231882,0.46989824058818846,0.874452690598688,0.5606848896778853,0.8179816540190589,0.9331213661857104,0.9758959939342093,1.0,-0.5563860859182708,-0.0678865447059004,0.31954392977595747,-0.020781091199781315,0.1931209848855189,-0.40616751284066344
mean_top10_closest_c_distances,-0.2361125388149649,-0.1456720897386508,0.9265220582240069,0.5786137123020474,0.3480017461009697,0.33613170666616465,-0.026149449486415975,-0.3494473585958603,-0.35186063325544514,-0.25308551770158144,-0.7187842305685678,-0.6152154987867957,-0.5563860859182708,1.0,-0.41776603399275425,-0.10701475680198977,-0.10936082607127744,-0.1783236947378414,0.14134392933850576
contact_density_3p6_per_overlap_area,-0.19936731906070113,-0.2875076909021089,-0.4294058379279792,-0.4631799262018023,0.3248401079162104,-0.12737612283496255,-0.10097260855121488,-0.48241525226000825,-0.38007924971712165,-0.28982254577881783,0.10482365519288118,0.036886278853326834,-0.0678865447059004,-0.41776603399275425,1.0,0.027955575557595536,-0.12198246342445426,0.0754490944843502,0.02831842710374741
pi_projected_area_ratio_min_over_max,0.3963500082010674,0.2930329407805029,0.0025103914517933166,-0.26150453664607665,-0.0928832149431854,-0.3370593931726823,0.20608858895421187,0.24181534510412173,-0.0314679971189207,0.23348325390616367,0.31938663922140165,0.31900410943438984,0.31954392977595747,-0.10701475680198977,0.027955575557595536,1.0,-0.8372069656950091,-0.1348203054894925,-0.3784433139633771
delta_overlap_fraction,-0.30045991494709234,-0.2560670603556541,-0.1872115419122464,0.22303034416462456,-0.23073397224527536,0.08263318271930628,-0.2248561869201765,0.09430099073222392,0.38751176143549754,0.0008539460791156203,-0.033722140294321405,-0.0240263682514242,-0.020781091199781315,-0.10936082607127744,-0.12198246342445426,-0.8372069656950091,1.0,0.24286404717472598,0.3392280028509905
delta_contact_atoms_3p4,0.040190960024673164,0.005628669852860249,-0.20607430344200112,-0.07498332141054753,-0.1355506285035811,-0.11842392389780126,0.0012136922050646646,0.159859313751621,0.17114360292852948,0.12721893452749358,0.1823829248409687,0.19481068062922346,0.1931209848855189,-0.1783236947378414,0.0754490944843502,-0.1348203054894925,0.24286404717472598,1.0,0.2943715256560699
delta_contact_region_bla,-0.2685243997170486,-0.2592580268393409,-0.014023048410650541,0.2507565922741155,0.11147662047933546,0.4283701587947839,-0.24993025224578172,-0.3187274897776702,-0.08213094074903972,-0.3350423230270326,-0.41585640207493035,-0.4194506047326099,-0.40616751284066344,0.14134392933850576,0.02831842710374741,-0.3784433139633771,0.3392280028509905,0.2943715256560699,1.0
