target,feature,impurity_share_of_total,permutation_share_of_total,share_within_group_impurity,share_within_group_permutation
target_fodft_coupling_abs_ev,n_interfragment_c_contacts_3p4,0.17747997504450264,0.09633257009870805,0.7273452169016694,0.5638987461815584
target_fodft_coupling_abs_ev,n_interfragment_c_contacts_3p6,0.04560006902361433,0.04449909837977129,0.18687737637102625,0.260482885039308
target_fodft_coupling_abs_ev,n_interfragment_c_contacts_4p0,0.020930600286606718,0.030001430107081034,0.08577740672730425,0.17561836877913364
target_fodft_coupling_abs_ev,GROUP TOTAL,0.2440106443547237,0.17083309858556037,1.0,1.0
target_frontier_gap_ev,n_interfragment_c_contacts_3p4,0.011249661057451107,0.04940126621535156,0.34580769463219924,0.32231821703872265
target_frontier_gap_ev,n_interfragment_c_contacts_3p6,0.009022164379257706,0.03581838520476027,0.2773358102658031,0.2336968045733387
target_frontier_gap_ev,n_interfragment_c_contacts_4p0,0.012259726729636808,0.0680489620303547,0.3768564951019976,0.44398497838793854
target_frontier_gap_ev,GROUP TOTAL,0.03253155216634562,0.15326861345046655,1.0,1.0
target_interaction_energy_kcal_mol,n_interfragment_c_contacts_3p4,0.023526759070339517,0.047165694096235916,0.23437202679502622,0.29615344306743135
target_interaction_energy_kcal_mol,n_interfragment_c_contacts_3p6,0.02577150202177942,0.0462912748551421,0.2567340084683153,0.29066296372865685
target_interaction_energy_kcal_mol,n_interfragment_c_contacts_4p0,0.05108385102280174,0.06580403307417239,0.5088939647366585,0.4131835932039118
target_interaction_energy_kcal_mol,GROUP TOTAL,0.10038211211492068,0.1592610020255504,1.0,1.0
target_somo_somo_elst_corrected_signed_kcal_mol,n_interfragment_c_contacts_3p4,0.15200736694864775,0.08425321506961923,0.7961797477925155,0.5051663323490986
target_somo_somo_elst_corrected_signed_kcal_mol,n_interfragment_c_contacts_3p6,0.023275629796264824,0.04025930704319832,0.1219124140684745,0.24138718581983534
target_somo_somo_elst_corrected_signed_kcal_mol,n_interfragment_c_contacts_4p0,0.015637919505598317,0.04227059401020128,0.08190783813900994,0.2534464818310661
target_somo_somo_elst_corrected_signed_kcal_mol,GROUP TOTAL,0.19092091625051089,0.16678311612301883,1.0,1.0
