target,model_family,importance_type,feature,importance,importance_std
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,bla_fragment_mean,0.004756557023728569,0.0006729308959066094
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,contact_region_bla_mean,0.002332579742383763,0.000351293266230598
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,contact_min_cc_distance,0.08051762364802852,0.008087921999495507
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,stack_interplane_distance,0.004509892785220234,0.0005896446736907169
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,stack_lateral_slip,0.011317225792800019,0.0010583932781050348
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,stack_plane_normal_angle_deg,0.004343920433126988,0.0009720858156227131
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,contact_interfragment_distance_std,0.01034404746352245,0.0011784100597275148
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,projected_pi_overlap_area,0.00981788487012194,0.001145082989073163
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,projected_pi_overlap_fraction_min,0.048128955504325076,0.005156844866794166
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,pi_projected_area_mean,0.006186963817858227,0.000915922297862666
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p4,0.14487152538215106,0.013785322891471847
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p6,0.0106979700645215,0.0016281164895213098
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_4p0,0.005638664822744721,0.0008060057054143204
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,mean_top10_closest_c_distances,0.5482866936257792,0.032819376023915374
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,contact_density_3p6_per_overlap_area,0.0023468140153107314,0.00047936582596219533
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,pi_projected_area_ratio_min_over_max,0.001040261998269465,0.00046310356427167477
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,delta_overlap_fraction,0.0011685503279153556,0.00047541448192750654
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,delta_contact_atoms_3p4,0.0017025587178748987,0.0006411387479686076
target_fodft_coupling_abs_ev,extra_trees,permutation_r2_drop,delta_contact_region_bla,0.0006022857496243021,0.00019617360890373685
target_frontier_gap_ev,extra_trees,permutation_r2_drop,bla_fragment_mean,0.11153454434123074,0.009179410953043383
target_frontier_gap_ev,extra_trees,permutation_r2_drop,contact_region_bla_mean,0.0028146059386720177,0.0004980291808258386
target_frontier_gap_ev,extra_trees,permutation_r2_drop,contact_min_cc_distance,0.002534554337361905,0.0003187209124719769
target_frontier_gap_ev,extra_trees,permutation_r2_drop,stack_interplane_distance,0.0016981126666150666,0.0004669890964798489
target_frontier_gap_ev,extra_trees,permutation_r2_drop,stack_lateral_slip,0.0027065578283211804,0.00024720629220661375
target_frontier_gap_ev,extra_trees,permutation_r2_drop,stack_plane_normal_angle_deg,0.011195246494268311,0.002038492012520149
target_frontier_gap_ev,extra_trees,permutation_r2_drop,contact_interfragment_distance_std,0.005034155135252879,0.0007947355119454147
target_frontier_gap_ev,extra_trees,permutation_r2_drop,projected_pi_overlap_area,0.004001884778405544,0.0006311393730930222
target_frontier_gap_ev,extra_trees,permutation_r2_drop,projected_pi_overlap_fraction_min,0.0021079844823306787,0.00046982578064237577
target_frontier_gap_ev,extra_trees,permutation_r2_drop,pi_projected_area_mean,1.691780206093741,0.10616136938826877
target_frontier_gap_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p4,0.015907631987359283,0.0027188531960289013
target_frontier_gap_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p6,0.004011621410866954,0.0006915055020116474
target_frontier_gap_ev,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_4p0,0.009198951294799125,0.001422948058459927
target_frontier_gap_ev,extra_trees,permutation_r2_drop,mean_top10_closest_c_distances,0.0030416115716378257,0.0002457684663019052
target_frontier_gap_ev,extra_trees,permutation_r2_drop,contact_density_3p6_per_overlap_area,0.0007180668669844792,0.00023476464944280522
target_frontier_gap_ev,extra_trees,permutation_r2_drop,pi_projected_area_ratio_min_over_max,0.09110850771857809,0.009808380036619517
target_frontier_gap_ev,extra_trees,permutation_r2_drop,delta_overlap_fraction,0.0006727585189358306,0.00023601858462163417
target_frontier_gap_ev,extra_trees,permutation_r2_drop,delta_contact_atoms_3p4,0.0019201097350184863,0.0005308415040591621
target_frontier_gap_ev,extra_trees,permutation_r2_drop,delta_contact_region_bla,0.001243835807278463,0.0002127865968040359
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,bla_fragment_mean,0.04150733791846136,0.0044455697325374265
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,contact_region_bla_mean,0.004928434636010404,0.0008731643943309123
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,contact_min_cc_distance,0.07667191518287422,0.006130008170070199
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,stack_interplane_distance,0.014957125279794602,0.0015392767877302489
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,stack_lateral_slip,0.019370972175937175,0.0033474963731216062
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,stack_plane_normal_angle_deg,0.028614662986543356,0.003660158709149679
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,contact_interfragment_distance_std,0.022406935203540132,0.0020430616757038896
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,projected_pi_overlap_area,0.02490803668077291,0.00280862781048964
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,projected_pi_overlap_fraction_min,0.016727299910689056,0.0028067226203142854
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,pi_projected_area_mean,0.8382531109570875,0.0644813022967663
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p4,0.021004671926002586,0.002260001063711837
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p6,0.015487398058790432,0.001212455460264015
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_4p0,0.05212486720251242,0.004353214460986495
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,mean_top10_closest_c_distances,0.09531897328263418,0.007696872371390069
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,contact_density_3p6_per_overlap_area,0.0054074040412940465,0.0007859596404626787
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,pi_projected_area_ratio_min_over_max,0.007100819848649894,0.0013991918472005475
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,delta_overlap_fraction,0.0026163640469610357,0.000729805019408625
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,delta_contact_atoms_3p4,0.001031304216490118,0.0004411398555916079
target_interaction_energy_kcal_mol,extra_trees,permutation_r2_drop,delta_contact_region_bla,0.0016073112462527035,0.00031627079408195796
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,bla_fragment_mean,0.006414389026546408,0.0011762976941266058
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,contact_region_bla_mean,0.0024622137529485572,0.0005194670346058542
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,contact_min_cc_distance,0.07230135401748652,0.00790108737404048
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,stack_interplane_distance,0.008849500499722688,0.002121326280620514
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,stack_lateral_slip,0.017648097392535193,0.00146568545335662
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,stack_plane_normal_angle_deg,0.00337450802770984,0.0007082337655109535
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,contact_interfragment_distance_std,0.015718265590241698,0.0017685008648193152
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,projected_pi_overlap_area,0.012889801839570555,0.002246105618433926
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,projected_pi_overlap_fraction_min,0.05657559452674095,0.006825680214470627
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,pi_projected_area_mean,0.00926571990401257,0.0019234148959599887
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p4,0.1659305660978773,0.018792780376774162
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_3p6,0.0064214792490375466,0.001818883156081152
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,n_interfragment_c_contacts_4p0,0.007432126015904091,0.0017635799556828865
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,mean_top10_closest_c_distances,0.5636292716631593,0.03225866874885076
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,contact_density_3p6_per_overlap_area,0.004612391864599338,0.000986397112818492
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,pi_projected_area_ratio_min_over_max,0.0016833401859816077,0.0009274285038276025
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,delta_overlap_fraction,0.001563985708602115,0.000622120719337454
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,delta_contact_atoms_3p4,0.0023135625753860265,0.0008503624024780304
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,permutation_r2_drop,delta_contact_region_bla,0.001177824662257961,0.0003270795787542822
