held_out_system,target,model_family,n_train,n_test,r2,mae,r2_predicting_global_training_mean,r2_predicting_heldout_own_mean,beats_global_mean
CPBP,target_fodft_coupling_abs_ev,extra_trees,1789,793,0.5476608751500092,0.09879756069004793,-0.00016478704571465386,0.0,True
CPBP,target_fodft_coupling_abs_ev,mlp,1789,793,-5.3694255271469675,0.4622290400247191,-0.00016478704571465386,0.0,False
CPBP,target_frontier_gap_ev,extra_trees,1789,793,-76.53134006897247,0.5451142339218163,-109.53072255382222,0.0,True
CPBP,target_frontier_gap_ev,mlp,1789,793,-1.5367650449272747,0.07573993853381875,-109.53072255382222,0.0,True
CPBP,target_interaction_energy_kcal_mol,extra_trees,1789,793,-3.171197578658613,5.709714609642138,-6.876656934245928,0.0,True
CPBP,target_interaction_energy_kcal_mol,mlp,1789,793,-0.9112938686558487,2.7016897064780228,-6.876656934245928,0.0,True
CPBP,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,1789,793,0.37306719110599185,2.2554377383880087,-0.030131882505441077,0.0,True
CPBP,target_somo_somo_elst_corrected_signed_kcal_mol,mlp,1789,793,-1.0742360293005855,3.8855079990084436,-0.030131882505441077,0.0,False
fluorenyl,target_fodft_coupling_abs_ev,extra_trees,2215,367,0.8853535462185653,0.043967441517883954,-0.09248858069930455,0.0,True
fluorenyl,target_fodft_coupling_abs_ev,mlp,2215,367,0.6562940499221892,0.08212088443614587,-0.09248858069930455,0.0,True
fluorenyl,target_frontier_gap_ev,extra_trees,2215,367,-7.922544003800674,0.37497659855585896,-23.244335160892827,0.0,True
fluorenyl,target_frontier_gap_ev,mlp,2215,367,-10.567639017728117,0.41497732291438066,-23.244335160892827,0.0,True
fluorenyl,target_interaction_energy_kcal_mol,extra_trees,2215,367,0.45647856205078496,1.498385829143878,-3.6429416349832815,0.0,True
fluorenyl,target_interaction_energy_kcal_mol,mlp,2215,367,-0.42147237001052673,2.1287395019965434,-3.6429416349832815,0.0,True
fluorenyl,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2215,367,0.6736439764056343,0.9979021836647007,-0.07872622593249745,0.0,True
