target,model_family,cv_r2,cv_mae,test_r2,test_mae
target_fodft_coupling_abs_ev,extra_trees,0.9410695793984942,0.035422711872298146,0.9566938764791698,0.03433493185145951
target_fodft_coupling_abs_ev,mlp,0.7584777397970066,0.0484636081565163,0.936879551447148,0.041852859566485164
target_fodft_coupling_abs_ev,ridge,0.7277325548837522,0.08506783143914035,0.75510472295683,0.08536273554674816
target_frontier_gap_ev,extra_trees,0.9769163347076923,0.03596707138947313,0.9774377224289854,0.03736240289518915
target_frontier_gap_ev,mlp,0.9678403071557257,0.0462210944199712,0.9614835218297798,0.04839607078330666
target_frontier_gap_ev,ridge,0.9317992971926782,0.06667815463382756,0.9335300166791561,0.06607745802868686
target_interaction_energy_kcal_mol,extra_trees,0.9461929058539648,0.772237219892355,0.9412777196709828,0.8328403642170863
target_interaction_energy_kcal_mol,mlp,0.9322983642335665,0.8748135506900191,0.9328069293512286,0.9018636937789261
target_interaction_energy_kcal_mol,ridge,0.7713834533227732,1.7412224680028556,0.7611738663970005,1.7744049097044452
target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,0.9589646465340801,0.5193225429139435,0.9648554614647802,0.5501235346586693
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,0.9148710354702808,0.7779557193935895,0.9641793023428071,0.6433712371386701
target_somo_somo_elst_corrected_signed_kcal_mol,ridge,0.6206482152534962,2.0501627773303,0.667649271160009,2.0732345933024834
