scheme,model_family,target,system,n,model_r2,model_mae
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,CPBP,793,0.9083816664670583,0.04076664635105933
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,fluorenyl,367,0.9373976066023035,0.02664821273390048
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,olympicenyl,532,0.9342391602994555,0.03961339670303079
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,phenalenyl,252,0.9645691431470265,0.032721143158345074
five_fold_cv,extra_trees,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,638,0.9538367213147778,0.03140053652449365
five_fold_cv,extra_trees,target_frontier_gap_ev,CPBP,793,0.465714090939662,0.03346468939890728
five_fold_cv,extra_trees,target_frontier_gap_ev,fluorenyl,367,0.7398704395990874,0.04418642079667856
five_fold_cv,extra_trees,target_frontier_gap_ev,olympicenyl,532,0.8030378694111099,0.029671293439849825
five_fold_cv,extra_trees,target_frontier_gap_ev,phenalenyl,252,0.8246739855093663,0.03756488133597955
five_fold_cv,extra_trees,target_frontier_gap_ev,phenalenyl_olympicenyl,638,0.7533172780066988,0.038996431915211356
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,CPBP,793,0.857864453503534,0.7824200304641242
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,fluorenyl,367,0.8361830257394647,0.6715987297293907
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,olympicenyl,532,0.8250043400439689,0.8768100794791498
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,phenalenyl,252,0.8679164936126502,0.8801547740458379
five_fold_cv,extra_trees,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,638,0.8944543068061276,0.6885256268838216
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,793,0.9401199714741861,0.5781159595982694
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,367,0.9055536302472313,0.37202915852928337
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,532,0.9676297660041316,0.5582637765667559
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,252,0.969311493781501,0.6337069457411093
five_fold_cv,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,638,0.9640158455666896,0.4539347613484604
five_fold_cv,mlp,target_fodft_coupling_abs_ev,CPBP,793,0.8999038618572439,0.045138514317475925
five_fold_cv,mlp,target_fodft_coupling_abs_ev,fluorenyl,367,0.9262996992438823,0.03458110116832919
five_fold_cv,mlp,target_fodft_coupling_abs_ev,olympicenyl,532,0.9278062787042143,0.04337149804955349
five_fold_cv,mlp,target_fodft_coupling_abs_ev,phenalenyl,252,0.9651848190112603,0.038670455643147805
five_fold_cv,mlp,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,638,0.9397899337196656,0.03648110348376758
five_fold_cv,mlp,target_frontier_gap_ev,CPBP,793,0.11466680452738298,0.04407385198104914
five_fold_cv,mlp,target_frontier_gap_ev,fluorenyl,367,0.5565010003091744,0.05951821116237948
five_fold_cv,mlp,target_frontier_gap_ev,olympicenyl,532,0.6841441963955706,0.0381171900754019
five_fold_cv,mlp,target_frontier_gap_ev,phenalenyl,252,0.8589766931904536,0.04761985807605932
five_fold_cv,mlp,target_frontier_gap_ev,phenalenyl_olympicenyl,638,0.7236664468462928,0.04698920226678831
five_fold_cv,mlp,target_interaction_energy_kcal_mol,CPBP,793,0.8268483529037867,0.9316703850926388
five_fold_cv,mlp,target_interaction_energy_kcal_mol,fluorenyl,367,0.7681506121111652,0.8169573156998247
five_fold_cv,mlp,target_interaction_energy_kcal_mol,olympicenyl,532,0.8002985572564827,0.9283679893944609
five_fold_cv,mlp,target_interaction_energy_kcal_mol,phenalenyl,252,0.8467709133565751,0.953478099152449
five_fold_cv,mlp,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,638,0.8659608619493232,0.7301639117972879
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,793,0.9162797529483826,0.7451957227307595
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,367,0.9021721725327774,0.5134449115732949
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,532,0.9635960563794772,0.6295423134066866
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,252,0.9716079372549397,0.7627972224758138
five_fold_cv,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,638,0.9750128717876484,0.48069326170874
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,CPBP,119,0.8068828407158329,0.05584198803228608
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,fluorenyl,55,0.9192939520365242,0.038752396612262596
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,olympicenyl,80,0.8019188832756514,0.09497320059323984
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,phenalenyl,38,0.7730774122464609,0.13758298179724754
geometry_clustered,extra_trees,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.843596799611836,0.03521129349109651
geometry_clustered,extra_trees,target_frontier_gap_ev,CPBP,119,0.15168242739896998,0.047103322472989054
geometry_clustered,extra_trees,target_frontier_gap_ev,fluorenyl,55,-0.44812254126115514,0.07448772606060813
geometry_clustered,extra_trees,target_frontier_gap_ev,olympicenyl,80,0.4206359909213385,0.03948717025000295
geometry_clustered,extra_trees,target_frontier_gap_ev,phenalenyl,38,0.13594065127204324,0.17216217763158195
geometry_clustered,extra_trees,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.25788001729221,0.0590604285416676
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,CPBP,119,0.23488845456067353,1.2706893929773575
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,fluorenyl,55,0.79284930292717,1.0240708725527428
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,olympicenyl,80,0.5600217390073565,1.7721088315414684
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,phenalenyl,38,0.5909004753432568,2.3002819464475412
geometry_clustered,extra_trees,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.7860549525221208,0.8189404399293005
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.8666122605259499,1.060330206861891
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.9140127203820829,0.7048982263947559
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.7944984565825546,1.9988193408753054
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.735510441801394,3.9378327549059846
geometry_clustered,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9203695745488049,0.2938521438739758
geometry_clustered,mlp,target_fodft_coupling_abs_ev,CPBP,119,0.724906798152475,0.06916128223358184
geometry_clustered,mlp,target_fodft_coupling_abs_ev,fluorenyl,55,0.8220553084232,0.06303686547193153
geometry_clustered,mlp,target_fodft_coupling_abs_ev,olympicenyl,80,0.8209531551699623,0.0996944494316248
geometry_clustered,mlp,target_fodft_coupling_abs_ev,phenalenyl,38,0.9401256327729384,0.091334570362219
geometry_clustered,mlp,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.7999150833891272,0.043458297365686405
geometry_clustered,mlp,target_frontier_gap_ev,CPBP,119,-0.21382864836084647,0.05521774535359644
geometry_clustered,mlp,target_frontier_gap_ev,fluorenyl,55,-1.5408096837626863,0.10462982144464184
geometry_clustered,mlp,target_frontier_gap_ev,olympicenyl,80,0.25620579864117143,0.047321581250308394
geometry_clustered,mlp,target_frontier_gap_ev,phenalenyl,38,0.39753497119908676,0.14377571165382808
geometry_clustered,mlp,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.3601759710745771,0.054040628609880716
geometry_clustered,mlp,target_interaction_energy_kcal_mol,CPBP,119,0.058784034936111174,1.4659327608560664
geometry_clustered,mlp,target_interaction_energy_kcal_mol,fluorenyl,55,0.5279684214095479,1.4681795752587412
geometry_clustered,mlp,target_interaction_energy_kcal_mol,olympicenyl,80,0.7103700857683133,1.380231835867106
geometry_clustered,mlp,target_interaction_energy_kcal_mol,phenalenyl,38,0.6158358815688563,2.3155773853702577
