scheme,target,n,between_system_variance_fraction,within_system_variance_fraction
five_fold_cv,target_fodft_coupling_abs_ev,2582,0.03166315408646718,0.9683368459135329
five_fold_cv,target_frontier_gap_ev,2582,0.9085787927839574,0.09142120721604263
five_fold_cv,target_interaction_energy_kcal_mol,2582,0.6186430601183027,0.3813569398816973
five_fold_cv,target_somo_somo_elst_corrected_signed_kcal_mol,2582,0.037900253814737495,0.9620997461852625
geometry_clustered,target_fodft_coupling_abs_ev,388,0.1930120110721181,0.8069879889278819
geometry_clustered,target_frontier_gap_ev,388,0.8919155199007566,0.10808448009924343
geometry_clustered,target_interaction_energy_kcal_mol,388,0.5663344311173426,0.4336655688826574
geometry_clustered,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.16490930875952275,0.8350906912404772
random,target_fodft_coupling_abs_ev,388,0.013976809746413806,0.9860231902535862
random,target_frontier_gap_ev,388,0.911729610412954,0.08827038958704603
random,target_interaction_energy_kcal_mol,388,0.6028210878757404,0.3971789121242596
random,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.018879650798519776,0.9811203492014802
train_test_70_15_15,target_fodft_coupling_abs_ev,388,0.013976809746413806,0.9860231902535862
train_test_70_15_15,target_frontier_gap_ev,388,0.911729610412954,0.08827038958704603
train_test_70_15_15,target_interaction_energy_kcal_mol,388,0.6028210878757404,0.3971789121242596
train_test_70_15_15,target_somo_somo_elst_corrected_signed_kcal_mol,388,0.018879650798519776,0.9811203492014802
