task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
4,1,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.16241319618002859,0.3518668238058418,0.4278495382688349
4,2,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.13363227226463525,0.31657734025036804,0.39259118851291586
4,3,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.0930468857988469,0.31916214800196363,0.38945641926461033
4,4,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.06728457263635446,0.3024902611119292,0.3676841323480337
4,5,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11477551165402988,0.3098235904725086,0.37740150730469096
4,6,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.15107517002646587,0.3142257516408934,0.3834364802565863
4,7,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.16521596330382038,0.3335422023969075,0.40118207099983816
4,8,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10281095865813539,0.3114039162800689,0.3756059329027682
4,9,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.13560145921041444,0.32063712657216503,0.39123406759756474
4,10,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.1029917216521723,0.31813034527491413,0.390343400524354
4,11,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11390549439795783,0.30642923877147804,0.37081906359729294
4,12,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.19250964665987058,0.32217692073944537,0.38855495431374487
4,13,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10398240398072711,0.3154957645017181,0.3891731161802725
4,14,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.17207431577727772,0.315842475999018,0.3854184156948613
4,15,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.09321539966427927,0.30522047701030913,0.37124123011221144
4,16,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10540517725866616,0.3153129459486991,0.3879733902827662
4,17,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.13597244989749102,0.33427049157216493,0.40653891583682406
4,18,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.11987112430854774,0.3147263416691212,0.38192183325607243
4,19,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.14486499618322868,0.3191192124312711,0.38923953084428486
4,20,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.12459010111778479,0.3244374971821307,0.39558664521214687
4,21,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.15801657869547991,0.313163936967354,0.3846775463076948
4,22,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.08796206535426809,0.3213106167697595,0.39552498389788093
4,23,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.19433607545199028,0.3132504234290623,0.38637317985047853
4,24,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.21606591018231192,0.33213374949803653,0.4130606548606937
4,25,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.2083066838340064,0.3268285706381937,0.3941071584311707
4,26,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.08507567652682879,0.30869886817869396,0.3804024457833196
4,27,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10665896008504161,0.3159370218728524,0.39151797586359416
4,28,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.10265351335277306,0.3156025488960477,0.3951566909467269
4,29,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.05677179255752862,0.3070570343384881,0.38472210526660494
4,30,extra_trees,target_frontier_gap_ev,extra_trees,2582,2194,388,19,42,42,42,-0.15437069385068547,0.32271265101497315,0.39882128058127364
