task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
2,1,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.11476723256311172,4.220891267150864,5.09548919739037
2,2,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.08262954862194793,4.467667064283918,5.290167720517735
2,3,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1497884890679435,4.423693669342491,5.269332558305802
2,4,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09165159240682397,4.333178181027347,5.170368572989889
2,5,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.15396819140146434,4.266088332800684,5.136373068942735
2,6,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1912837577057529,4.6941003156788526,5.533904539409259
2,7,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.17187106386010953,4.4240625618054485,5.291027828498016
2,8,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.12281623236041184,4.396253422937278,5.237909344157782
2,9,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09324059868990897,4.442050020163522,5.316670039400259
2,10,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.07579377140938837,4.19230571626918,4.9888437628904185
2,11,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1216412870814374,4.314720263354434,5.139220495722494
2,12,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.18813593779000115,4.432559012033247,5.275485309593724
2,13,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.12787593991379365,4.29675494775015,5.104823349542923
2,14,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.16042674308728677,4.455039113791239,5.279275220425194
2,15,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.0706916897632428,4.272772013153872,5.133166790118545
2,16,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.10654091073393723,4.352092370746113,5.210413809727109
2,17,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.13957208134754118,4.313915557527943,5.120682791883219
2,18,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09046868935795138,4.132779259969413,4.94901798397882
2,19,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1984589680562494,4.70691742155087,5.493799036108847
2,20,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1657721084456203,4.592376508704203,5.430766603840651
2,21,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.14753829768160553,4.525685396626452,5.409140446817947
2,22,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.10584690221990267,4.185308160294964,5.01116584455056
2,23,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.14086549780936752,4.497798562524816,5.354130987743883
2,24,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.24741193689412477,4.471438076536903,5.319856180493673
2,25,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.18329707165821185,4.639204012516617,5.430968113174971
2,26,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09956973729923813,4.257747548186221,5.0565156478108895
2,27,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.11914672239168222,4.114389142829827,5.04866262432757
2,28,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.18287909746775854,4.358941613812072,5.235274979203182
2,29,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.08349365448167645,4.161534579276968,4.916220773768334
2,30,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.13393568604230288,4.238516587302883,5.125549398852695
2,31,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.17573724383887024,4.353691080969876,5.250452078982812
2,32,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.14282678913446212,4.361319561007192,5.263495251675007
2,33,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.11194321286796471,4.376704419894311,5.168341273484465
2,34,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.18771083464594107,4.350918964536467,5.218834524727204
2,35,extra_trees,target_interaction_energy_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.05451507708679415,4.272906645850966,5.0985850268421045
