task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
6,1,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.12062486186532317,3.497618161510252,5.611520114474318
6,2,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09344810507869483,3.510523591239125,5.533456744711377
6,3,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.13741993584228895,3.3757232309485428,4.833180840593928
6,4,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.10399310544166696,3.048913183971599,4.383728023592791
6,5,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.1438916416048719,3.3528362991347342,4.727192288826255
6,6,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.09114946518338218,3.4893570079329916,5.238037101399273
6,7,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.18512040417909081,3.727251980919295,5.503536643759033
6,8,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.11320032182937778,3.640754782211263,5.5009578033586415
6,9,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.10365450609913895,3.63482811906691,5.80398138689986
6,10,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.12153620934055032,3.4816663055038135,5.418764813709968
6,11,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.11459800557878785,3.476089211237389,5.23367766453279
6,12,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.0432953937120808,3.460483430503163,5.105974960795238
6,13,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.06380428646564473,3.464977697173621,5.981543259961198
6,14,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.36776983531506624,3.4980477626262942,5.103239220590617
6,15,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.13412786378017638,3.1659237043314654,4.418367902173786
6,16,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.06985715701136996,3.378290989222705,5.4625741943831185
6,17,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.13071841234658432,3.6879713643443965,6.209501955928955
6,18,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,extra_trees,2582,2194,388,19,42,42,42,-0.08260811826026293,3.4256007540653997,5.0178636967854064
