task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
1,1,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,0.002161048795676357,0.17248509009381408,0.22741449299552824
1,2,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.004246335908333343,0.17211660317809585,0.2256462462321724
1,3,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.03596743219868981,0.17742322000878,0.21405125699792832
1,4,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.06562565544076282,0.16884825241506474,0.2074080513947549
1,5,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.012503711032376463,0.17409238462515556,0.21483380324425969
1,6,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.01311823732079187,0.17685353688144068,0.2254980558553289
1,7,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.01912493147627159,0.17628183280966378,0.22860801120168997
1,8,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.026066930202190752,0.18091948884381454,0.23043135075156285
1,9,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.002890117831983563,0.17093953073578022,0.22418447296142818
1,10,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.007910277936241661,0.1758854050830104,0.22326827275737313
1,11,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.021933533926635773,0.16760456360452142,0.2197891000506807
1,12,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.021907251713517706,0.18268127754166086,0.22919929916714815
1,13,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.04227151186420364,0.1853887639377452,0.23746111156513977
1,14,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.10621104973464601,0.17771931881593755,0.2194379610909902
1,15,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.020176420018618524,0.16491871306660036,0.20305924151856594
1,16,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.030781925463146287,0.17260883327990162,0.22613319053086484
1,17,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.014831892971854055,0.17532220321896186,0.23023655935426918
1,18,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.0019572450408433806,0.17615124194166423,0.21916391457816642
1,19,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.0185411841915728,0.16913493411921904,0.22248455910257173
1,20,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.01957022989120505,0.17566726475018685,0.22034605591057432
1,21,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,0.0013147700026889808,0.1853196507701055,0.23825640001968845
1,22,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.028466346622024075,0.1815941971593969,0.23886687609091448
1,23,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.003213404817602905,0.1806052247718943,0.21931968460058265
1,24,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.024965179575499263,0.16980402232813024,0.21604608435024128
1,25,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.03894935068115957,0.16691645045508124,0.2094281233192198
1,26,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.029955836567856498,0.16759083421172502,0.2195068811649936
1,27,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,0.008344359014189284,0.17494512479140403,0.22245704789215195
1,28,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.022423812055873293,0.17611020349951095,0.23283504300376187
1,29,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.023047347518785122,0.18009130001910242,0.23829275960689728
1,30,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.023740168801431816,0.17665404035169066,0.22324013447550112
1,31,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.045958263783505204,0.17127747008057398,0.22148802846304277
1,32,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.025980610419052086,0.16353764045347333,0.19967452682946082
1,33,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.01841470844523152,0.16736765318868682,0.21498583446513558
1,34,mlp,target_fodft_coupling_abs_ev,mlp_128_64_32_a1e-4,2582,2194,388,19,42,42,42,-0.0029934325062430656,0.18323710761760686,0.2399612939771706
