task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
3,1,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.007107969868385577,4.093562385115841,4.843193316814018
3,2,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01239238452069813,4.319628193766448,5.115686685359372
3,3,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01795380142476266,4.216769081651679,4.9580472890537814
3,4,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.007865315904813208,4.191635549047342,4.967990157980036
3,5,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.009560987478233862,3.990458842666438,4.804253565890677
3,6,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014301378143895427,4.360878390399386,5.1063145127278435
3,7,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0063425762352906645,4.150631558664969,4.9031260015500475
3,8,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03496124811000523,4.303653166935036,5.02881525038789
3,9,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.008315071357844372,4.254589911130067,5.1059900228034945
3,10,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.018173262494531883,4.100195089602443,4.853401662413312
3,11,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0058758702660819395,4.111120537024043,4.866788271465723
3,12,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.0006133067886507915,4.085235640922722,4.83833720690269
3,13,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.023543707011202786,4.07525577136812,4.8629885631097896
3,14,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03558500170435108,4.299225569134892,4.987217568573597
3,15,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.008022780703609289,4.1857913140434,4.980676484460757
3,16,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02748578048887862,4.323276343146522,5.020840080301674
3,17,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01267876387916389,4.1706033504528754,4.8271725663439335
3,18,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.006916720098055329,4.071458181814925,4.755642593501525
3,19,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.04482077235220405,4.425990074393085,5.129583257851282
3,20,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.013521873804157591,4.308154518871456,5.063733854704176
3,21,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.047242164770379125,4.404799839431924,5.167354104317989
3,22,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.002855296133684737,4.04513274156787,4.772109598212283
3,23,mlp,target_interaction_energy_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03350260230165847,4.3148280689923855,5.095978135618038
