task_index,permutation,family,target,selected_model,n_total,n_train_validation,n_test,n_features,split_seed,permutation_seed,model_random_state,r2,mae,rmse
7,1,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.009577246366950787,3.175315928298945,5.326233162297347
7,2,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.005798233377691586,3.3026197827603943,5.276363367817219
7,3,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03512778472294342,3.221467887273728,4.610729141520633
7,4,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.09799272819276905,3.221927428774167,4.371798664224196
7,5,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01911648666790433,3.1359636898279346,4.461929858818894
7,6,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.027902437868942975,3.5382658861461564,5.083963175813593
7,7,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.008278303356524352,3.2968510304817698,5.076341559179477
7,8,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.0011438685970599494,3.4694555950348756,5.210784611266292
7,9,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01825902660875056,3.323600787342154,5.574919169453457
7,10,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.00969596955556895,3.3320302641550206,5.141489623428571
7,11,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03820465138299545,3.1333092865543337,5.051139069734813
7,12,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02511296002666419,3.2226591414757713,5.061286221426837
7,13,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.006875942364427345,3.344462777204819,5.819294846343865
7,14,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.05795193042132407,3.179550832369818,4.488201884618137
7,15,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.013524046357554997,2.9867911039122443,4.176840521097209
7,16,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.017986773422487445,3.1643297816570106,5.328506725066674
7,17,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.018981930019199567,3.250292133673923,5.894714523829503
7,18,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.026189758310958933,3.267033132330195,4.88536546909055
7,19,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.027408264648901115,3.369150782896619,5.026734323115212
7,20,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.003293871930324599,3.2108801998564003,4.8237311009797645
7,21,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.009295441890935008,3.5079038038157475,5.750531094251467
7,22,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.017525032627128123,3.3257396691005425,5.833280313710639
7,23,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.00034762642367791585,3.455763554531011,4.867503721932954
7,24,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.007771810237366283,3.0442368024729394,4.9199115454658875
7,25,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03195150766819421,2.9606262155553256,4.319150833170934
7,26,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.021141493113753906,3.14209329228611,5.205645736817472
7,27,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,0.0012210899617932647,3.418442898400416,5.517773822270884
7,28,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01940699819844105,3.4236301612331252,5.986510988262396
7,29,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.01772444737607115,3.557920938789814,6.156110481617552
7,30,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0043881019667424415,3.215503343911699,5.143210198608756
7,31,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03523007378448906,3.2048202429831862,5.217109131568215
7,32,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.0101466787818012,2.7657023276035226,4.094976294124881
7,33,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.025085668478527445,3.0441829581253463,4.798273433091358
7,34,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.009968669745910708,3.509555345903299,5.907588295669367
7,35,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.011963333690351075,3.2295161647382304,4.8053380922274105
7,36,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.016449640914680153,2.9424161314829425,4.256272065729262
7,37,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02853284114998944,3.3136975528471875,5.132502058319337
7,38,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.03738841151145311,3.3192406474441487,5.062240290725429
7,39,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014629411286567251,3.7923735423512555,6.421526459762715
7,40,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.017247356744283904,3.16230235751169,4.719918730731856
7,41,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.04496756921841549,3.1971602018246745,4.658163507568912
7,42,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.014611700536077299,3.280715124827172,5.1419121140114274
7,43,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.009872613514065653,3.3386939980617703,6.0028933795712
7,44,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.019017505997576567,3.1563592009117762,5.191203694607224
7,45,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.02397330440678136,3.2259316413688124,4.863268972752135
7,46,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.015969689796861974,3.2312751043547276,5.349777528789252
7,47,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,mlp_128_64_32_a1e-3,2582,2194,388,19,42,42,42,-0.011854893225070828,3.277969324573975,5.221823086082174
